property_id,similar_property_ids
OLRS-0097471,"['OLRS-00010078145', 'RLMX-98826', 'OLRS-0096053', 'COMP-1373528583716575065', 'RLMX-97598']"
OLRS-0097488,"['OLRS-0098183', 'RPLU-5123213365', 'RPLU-810123237597', 'RPLU-33423024871', 'RPLU-850723224169']"
RLMX-97561,"['RPLU-5123133560', 'RPLU-63223231418', 'RSFT-00110000000306', 'RPLU-5123205480', 'OLRS-0065786']"
RLMX-97565,"['OLRS-0065265', 'RPLU-5123133560', 'RLMX-103915', 'RLMX-101915', 'RLMX-103575']"
RLMX-97598,"['OLRS-0096255', 'OLRS-00010096255', 'RLMX-100211', 'RPLU-1086922581275', 'RLMX-100567']"
OLRS-0097708,"['RPLU-850723167580', 'RPLU-21922577034', 'RLMX-98727', 'RPLU-63223043422', 'RPLU-850722976063']"
OLRS-0097776,"['OLRS-0098163', 'OLRS-0097195', 'OLRS-0097364', 'RPLU-850723016420', 'OLRS-0098169']"
OLRS-0097778,"['OLRS-0097364', 'RLMX-100905', 'RLMX-103438', 'OLRS-0098163', 'OLRS-0098170']"
OLRS-0098049,"['RLMX-100567', 'RLMX-99922', 'OLRS-0096053', 'RPLU-1086923059855', 'RPLU-850723211595']"
OLRS-0098113,"['RPLU-850723213776', 'OLRS-0096053', 'RLMX-100211', 'OLRS-0098169', 'OLRS-0097083']"
OLRS-0098163,"['OLRS-0098170', 'OLRS-00010065786', 'OLRS-0065786', 'OLRS-0097778', 'OLRS-0097364']"
OLRS-0098165,"['RLMX-98826', 'COMP-1601096981796605137', 'RLMX-104074', 'RPLU-850723198237', 'BNYC-1976294']"
OLRS-0098167,"['OLRS-0098163', 'RLMX-100905', 'OLRS-0097364', 'RLMX-98506', 'OLRS-0097778']"
COMP-1663891303381073697,"['COMP-1631240054457564601', 'COMP-1687934018254174929', 'COMP-1576106955267332465', 'RPLU-21923260653', 'COMP-1697335308019627609']"
COMP-1663899797962031409,"['COMP-1699321743153892657', 'COMP-1510271152733883393', 'PRCH-36909865']"
COMP-1666753533903267761,"['RPLU-63222882290', 'COMP-1674152298639627961', 'RPLU-810123209174', 'RLMX-98727', 'RPLU-5123205480']"
COMP-1666880324063814761,"['COMP-1592821445178061793', 'OLRS-0065265', 'PRCH-4303067', 'RLMX-101915', 'RSFT-00110000000307']"
COMP-1667606033422999721,"['COMP-1687934018254174929', 'COMP-1631240054457564601', 'COMP-1636449816503481273', 'COMP-1560950891091055521', 'COMP-1658345314333037049']"
COMP-1668078371360461433,"['COMP-1687705570193539785', 'COMP-1388437577056308105', 'COMP-1671921473406547665', 'COMP-1547869371349553377', 'RPLU-5122666693']"
COMP-1668254108286138489,"['COMP-1575827621985933217', 'RPLU-1086922371161', 'COMP-1564175499597512553', 'COMP-1623218797771651233', 'COMP-1652651194763197713']"
COMP-1668300016553865249,"['COMP-1631152331419512057', 'COMP-1703127448319631569']"
COMP-1669226463619188897,"['COMP-1694297153749568729', 'RPLU-5123023625']"
