property_id,similar_property_ids
RLMX-100567,"['OLRS-0097167', 'RLMX-012130023559']"
RLMX-100669,"['RLMX-100670', 'RLMX-100126']"
RLMX-100670,"['RLMX-100669', 'RLMX-100126']"
RLMX-100671,[]
RLMX-100738,['RLMX-102630']
RLMX-100743,"['RLMX-102628', 'RLMX-99907', 'RLMX-104117', 'OLRS-2107248']"
RLMX-100771,[]
RLMX-100857,"['RLMX-94462', 'RLMX-100669']"
RLMX-100905,"['COMP-1532905853672731009', 'RLMX-95267']"
RLMX-100924,"['COMP-1705258241987142361', 'OLRS-00011942796']"
RLMX-100978,"['RLMX-101783', 'RLMX-102488', 'OLRS-00011995288']"
RLMX-101051,[]
RLMX-101054,"['RLMX-101321', 'OLRS-2094098']"
RLMX-101057,[]
RLMX-101059,[]
RLMX-101060,"['RLMX-102887', 'RLMX-102707', 'RPLU-455222651335', 'COMP-1622425264311390569', 'COMP-1705258241987142361']"
RLMX-101070,"['RLMX-102675', 'RLMX-102457', 'RLMX-102615', 'RPLU-63223238783']"
RLMX-101101,[]
RLMX-101105,['OLRS-2107248']
RLMX-101107,"['RPLU-33423165004', 'COMP-1705258241987142361']"
RLMX-101162,"['RLMX-102573', 'PRCH-35128392', 'RPLU-5123167695', 'PRCH-36975275', 'OLRS-00011942796']"
RLMX-101169,"['RLMX-101193', 'RLMX-97552', 'COMP-1705214924582711849']"
RLMX-101193,"['RLMX-97552', 'RLMX-102618', 'COMP-1705214924582711849']"
RLMX-101199,['COMP-1545857564879067849']
RLMX-101200,['RLMX-102052']
RLMX-101208,[]
RLMX-101289,[]
RLMX-101321,"['RLMX-101054', 'COMP-1653087286297412553', 'OLRS-2094098']"
RLMX-101343,['RLMX-104045']
RLMX-101344,"['RLMX-102436', 'RPLU-33423242270', 'RLMX-102686', 'RPLU-63223238783']"
RLMX-101370,"['RLMX-97552', 'RLMX-102424', 'OLRS-1763273', 'COMP-1705214924582711849']"
RLMX-101373,"['RLMX-102618', 'COMP-1705214924582711849']"
RLMX-101374,"['RLMX-101952', 'RPLU-33422974931']"
RLMX-101399,"['RLMX-102322', 'RLMX-102319']"
RLMX-101404,"['RLMX-100409', 'COMP-1705258241987142361', 'OLRS-00011942796']"
RLMX-101406,"['RLMX-99224', 'COMP-1505362808172668593']"
RLMX-101415,[]
RLMX-101443,"['RLMX-101756', 'OLRS-0001434331']"
RLMX-101455,"['RPLU-33423150449', 'COMP-1705214924582711849']"
RLMX-101461,[]
RLMX-101542,"['RLMX-102746', 'RLMX-102887']"
RLMX-101598,[]
RLMX-101638,"['RLMX-100456', 'RPLU-33423143225', 'OLRS-00012022489', 'RPLU-63223238783']"
RLMX-101656,[]
RLMX-101671,"['RLMX-102262', 'OLRS-1715651']"
RLMX-101673,[]
RLMX-101674,"['RLMX-102057', 'OLRS-00011942796']"
RLMX-101710,[]
RLMX-101715,[]
RLMX-101756,"['OLRS-00011930042', 'RLMX-101443']"
RLMX-101783,"['RLMX-100978', 'RLMX-102488', 'RLMX-102185']"
RLMX-101784,[]
RLMX-101788,"['RLMX-102873', 'RPLU-63223238783']"
RLMX-101803,[]
RLMX-101834,"['RLMX-102225', 'RLMX-100409', 'RLMX-102562', 'COMP-1705258241987142361', 'OLRS-00011942796']"
