property_id,similar_property_ids
OLRS-0097364,"['OLRS-0098167', 'OLRS-0098170', 'OLRS-2097315', 'OLRS-00011908821', 'OLRS-00011841720']"
OLRS-0097471,"['OLRS-0097153', 'COMP-1698937623458366481', 'RPLU-63223179982', 'OLRS-00010094384', 'PRCH-21011926']"
OLRS-0097488,"['OLRS-0096963', 'OLRS-0096964', 'OLRS-0098183', 'RPLU-5123201144', 'OLRS-0096255']"
RLMX-97561,"['RLMX-102628', 'RPLU-850723198237', 'RLMX-98544', 'RLMX-100905', 'RLMX-102216']"
RLMX-97565,"['RPLU-33422914357', 'RLMX-100218', 'RPLU-5123023625', 'RPLU-63222882290', 'OLRS-2106461']"
RLMX-97598,"['COMP-1601096981796605137', 'RPLU-850723123803', 'PRCH-8361313', 'OLRS-00010090167', 'COMP-1596750905325669729']"
OLRS-0097708,"['RPLU-850723024926', 'RPLU-850723016420', 'RLMX-98551', 'OLRS-0050908', 'RPLU-850722660979']"
OLRS-0097776,"['OLRS-00011908821', 'OLRS-0097195', 'RLMX-102158', 'OLRS-0098170', 'RLMX-104130']"
OLRS-0097778,"['OLRS-2082168', 'OLRS-0098163', 'RPLU-63223231418', 'RLMX-100567', 'RLMX-100905']"
OLRS-0098049,"['OLRS-380675', 'RLMX-104074', 'RPLU-1086923059855', 'RPLU-5123214044', 'OLRS-0098183']"
OLRS-0098113,"['OLRS-0097081', 'RPLU-850723123803', 'RPLU-63222228212', 'COMP-1596750905325669729', 'RPLU-850723213776']"
OLRS-0098163,"['OLRS-2082168', 'RPLU-850723213776', 'OLRS-00012069258', 'RLMX-102768', 'OLRS-00010065786']"
OLRS-0098165,"['RLMX-95776', 'RPLU-850722645502', 'OLRS-0097083', 'RLMX-100567', 'RPLU-850723198237']"
OLRS-0098167,"['OLRS-00011841720', 'OLRS-0097364', 'OLRS-00011908821', 'OLRS-0097776', 'OLRS-2107636']"
COMP-1663891303381073697,"['COMP-1623959750280275713', 'COMP-1576106955267332465', 'COMP-1600885881408902177', 'COMP-1358892558767100129', 'COMP-1663821335494630033']"
COMP-1663899797962031409,"['COMP-1697218610109352377', 'COMP-1592821445178061793', 'COMP-1699321743153892657', 'COMP-1522081953441679065', 'COMP-1702416530636040561']"
COMP-1666753533903267761,"['RLMX-102628', 'RSFT-00110000000307', 'RLMX-102216', 'RLMX-99546', 'RPLU-810123209174']"
COMP-1666880324063814761,"['COMP-1592821445178061793', 'COMP-1601172227230977793', 'COMP-1600098047748199073', 'COMP-1590744201340853209', 'COMP-1674152298639627961']"
COMP-1667606033422999721,"['COMP-1597126731254797809', 'COMP-1631240054457564601', 'COMP-1684255452700463401', 'RLMX-103119', 'PRCH-35227703']"
COMP-1668078371360461433,"['COMP-1671921473406547665', 'COMP-1334197106944638753', 'COMP-1044261925146742785', 'RPLU-33422790383', 'COMP-1567495751699113169']"
COMP-1668254108286138489,"['COMP-1638656181366130905', 'COMP-1612528132439870097', 'RLMX-98551', 'RPLU-1086922371161', 'COMP-1562793418388992481']"
COMP-1668300016553865249,"['COMP-1626795694196208833', 'COMP-1358892558767100129', 'COMP-1667606033422999721', 'COMP-1545857564879067849', 'COMP-1690062557465025689']"
COMP-1669226463619188897,"['COMP-1694297153749568729', 'COMP-1505362808172668593', 'COMP-1679125010216594385', 'COMP-1674030382880363265', 'COMP-1674179785097031889']"
COMP-1671847755451965913,"['COMP-1700326410294492937', 'COMP-1073874865398307513', 'COMP-1597126731254797809', 'COMP-1073875481516409729', 'COMP-1653087286297412553']"
COMP-1671921473406547665,"['COMP-1044261925146742785', 'COMP-1231087906335716105', 'COMP-1668078371360461433', 'COMP-1334197106944638753', 'COMP-1567495751699113169']"
COMP-1674030382880363265,"['COMP-1674179785097031889', 'COMP-1572678218651844553', 'COMP-1601096981796605137', 'COMP-1617515355968373561', 'PRCH-8361313']"
COMP-1674152298639627961,"['COMP-1601172227230977793', 'RPLU-63222882290', 'RLMX-102595', 'RPLU-33422833364', 'OLRS-00011047350']"
COMP-1674179785097031889,"['COMP-1674030382880363265', 'COMP-1655237396959534561', 'COMP-1631240054457564601', 'COMP-1576106955267332465', 'COMP-1358892558767100129']"
COMP-1674625304830770481,"['COMP-1705214924582711849', 'COMP-1679125010216594385', 'COMP-1581441746193335569', 'COMP-1654387503898625521', 'COMP-1627741207465543745']"
COMP-1674664876789264937,"['COMP-1566040567294000449', 'COMP-1578293122336349425', 'COMP-1497261247040023473', 'COMP-1653087286297412553', 'COMP-1705398161753928793']"
COMP-1675952218048982105,"['RPLU-63223020093', 'RPLU-63223231418', 'COMP-1600098047748199073', 'RLMX-100567', 'RPLU-63223130678']"
COMP-1676878587171509657,"['COMP-1703127448319631569', 'COMP-1654387503898625521', 'COMP-1658345314333037049', 'COMP-1639260620393536617', 'COMP-1674625304830770481']"
COMP-1678263033280950097,"['RPLU-21923205399', 'RLMX-102999', 'COMP-1674030382880363265', 'RPLU-850722979923', 'RPLU-63223180728']"
COMP-1679125010216594385,"['COMP-1581441746193335569', 'COMP-1705214924582711849', 'COMP-1674625304830770481', 'COMP-1596750905325669729', 'COMP-1694297153749568729']"
COMP-1679157401894986137,"['COMP-1693803675186021017', 'COMP-1687934018254174929', 'COMP-1623959750280275713', 'COMP-1674664876789264937', 'COMP-1497261247040023473']"
COMP-1679165774380144289,"['COMP-1679125010216594385', 'COMP-1654387503898625521', 'COMP-1581441746193335569', 'COMP-1436460808857829281', 'COMP-1698937623458366481']"
COMP-1683394632151751489,"['COMP-1649314408791143777', 'COMP-1684255452700463401', 'COMP-1358892558767100129', 'COMP-1705398161753928793', 'COMP-1631240054457564601']"
COMP-1684255452700463401,"['RPLU-476623202661', 'COMP-1649314408791143777', 'PRCH-35047916', 'COMP-1705398161753928793', 'OLRS-0001934166']"
COMP-1687705570193539785,"['COMP-1674179785097031889', 'COMP-1358892558767100129', 'COMP-1597149764770014809', 'COMP-1576724244191068073', 'COMP-1623959750280275713']"
